,precision,recall,f1-score,support
Negatif,0.0,0.0,0.0,64.0
Netral,0.782608695652174,0.18556701030927836,0.3,97.0
Positif,0.5753012048192772,0.9845360824742269,0.7262357414448669,194.0
accuracy,0.5887323943661972,0.5887323943661972,0.5887323943661972,0.5887323943661972
macro avg,0.45263663349048366,0.3900343642611684,0.34207858048162226,355.0
weighted avg,0.5282295132766215,0.5887323943661972,0.4788443206769132,355.0
